storm_id,date,latitude,longitude,ne,se,sw,nw,wind_speed
ALBERTO-1988,1988-08-05T18:00:00Z,32,-77.5,0,0,0,0,34
ALBERTO-1988,1988-08-05T18:00:00Z,32,-77.5,0,0,0,0,50
ALBERTO-1988,1988-08-05T18:00:00Z,32,-77.5,0,0,0,0,64
ALBERTO-1988,1988-08-06T00:00:00Z,32.8,-76.2,0,0,0,0,34
ALBERTO-1988,1988-08-06T00:00:00Z,32.8,-76.2,0,0,0,0,50
ALBERTO-1988,1988-08-06T00:00:00Z,32.8,-76.2,0,0,0,0,64
ALBERTO-1988,1988-08-06T06:00:00Z,34,-75.2,0,0,0,0,34
ALBERTO-1988,1988-08-06T06:00:00Z,34,-75.2,0,0,0,0,50
ALBERTO-1988,1988-08-06T06:00:00Z,34,-75.2,0,0,0,0,64
ALBERTO-1988,1988-08-06T12:00:00Z,35.2,-74.6,0,0,0,0,34
ALBERTO-1988,1988-08-06T12:00:00Z,35.2,-74.6,0,0,0,0,50
ALBERTO-1988,1988-08-06T12:00:00Z,35.2,-74.6,0,0,0,0,64
ALBERTO-1988,1988-08-06T18:00:00Z,37,-73.5,0,0,0,0,34
ALBERTO-1988,1988-08-06T18:00:00Z,37,-73.5,0,0,0,0,50
ALBERTO-1988,1988-08-06T18:00:00Z,37,-73.5,0,0,0,0,64
ALBERTO-1988,1988-08-07T00:00:00Z,38.7,-72.4,0,0,0,0,34
ALBERTO-1988,1988-08-07T00:00:00Z,38.7,-72.4,0,0,0,0,50
ALBERTO-1988,1988-08-07T00:00:00Z,38.7,-72.4,0,0,0,0,64
ALBERTO-1988,1988-08-07T06:00:00Z,40,-70.8,0,0,0,0,34
ALBERTO-1988,1988-08-07T06:00:00Z,40,-70.8,0,0,0,0,50
ALBERTO-1988,1988-08-07T06:00:00Z,40,-70.8,0,0,0,0,64
ALBERTO-1988,1988-08-07T12:00:00Z,41.5,-69,100,100,50,50,34
ALBERTO-1988,1988-08-07T12:00:00Z,41.5,-69,0,0,0,0,50
ALBERTO-1988,1988-08-07T12:00:00Z,41.5,-69,0,0,0,0,64
ALBERTO-1988,1988-08-07T18:00:00Z,43,-67.5,100,100,50,50,34
ALBERTO-1988,1988-08-07T18:00:00Z,43,-67.5,0,0,0,0,50
ALBERTO-1988,1988-08-07T18:00:00Z,43,-67.5,0,0,0,0,64
ALBERTO-1988,1988-08-08T00:00:00Z,45,-65.5,NA,NA,NA,NA,34
ALBERTO-1988,1988-08-08T00:00:00Z,45,-65.5,0,0,0,0,50
ALBERTO-1988,1988-08-08T00:00:00Z,45,-65.5,0,0,0,0,64
ALBERTO-1988,1988-08-08T06:00:00Z,47,-63,NA,NA,NA,NA,34
ALBERTO-1988,1988-08-08T06:00:00Z,47,-63,0,0,0,0,50
ALBERTO-1988,1988-08-08T06:00:00Z,47,-63,0,0,0,0,64
ALBERTO-1988,1988-08-08T12:00:00Z,49,-60,0,0,0,0,34
ALBERTO-1988,1988-08-08T12:00:00Z,49,-60,0,0,0,0,50
ALBERTO-1988,1988-08-08T12:00:00Z,49,-60,0,0,0,0,64
ALBERTO-1988,1988-08-08T18:00:00Z,51,-56,0,0,0,0,34
ALBERTO-1988,1988-08-08T18:00:00Z,51,-56,0,0,0,0,50
ALBERTO-1988,1988-08-08T18:00:00Z,51,-56,0,0,0,0,64
ALBERTO-1994,1994-06-30T06:00:00Z,21.7,-83.6,0,0,0,0,34
ALBERTO-1994,1994-06-30T06:00:00Z,21.7,-83.6,0,0,0,0,50
ALBERTO-1994,1994-06-30T06:00:00Z,21.7,-83.6,0,0,0,0,64
ALBERTO-1994,1994-06-30T12:00:00Z,21.6,-84.3,0,0,0,0,34
ALBERTO-1994,1994-06-30T12:00:00Z,21.6,-84.3,0,0,0,0,50
ALBERTO-1994,1994-06-30T12:00:00Z,21.6,-84.3,0,0,0,0,64
ALBERTO-1994,1994-06-30T18:00:00Z,21.6,-85.2,0,0,0,0,34
ALBERTO-1994,1994-06-30T18:00:00Z,21.6,-85.2,0,0,0,0,50
ALBERTO-1994,1994-06-30T18:00:00Z,21.6,-85.2,0,0,0,0,64
ALBERTO-1994,1994-07-01T00:00:00Z,21.5,-85.6,0,0,0,0,34
ALBERTO-1994,1994-07-01T00:00:00Z,21.5,-85.6,0,0,0,0,50
ALBERTO-1994,1994-07-01T00:00:00Z,21.5,-85.6,0,0,0,0,64
ALBERTO-1994,1994-07-01T06:00:00Z,22,-86.1,0,0,0,0,34
ALBERTO-1994,1994-07-01T06:00:00Z,22,-86.1,0,0,0,0,50
ALBERTO-1994,1994-07-01T06:00:00Z,22,-86.1,0,0,0,0,64
ALBERTO-1994,1994-07-01T12:00:00Z,22.5,-86.4,0,0,0,0,34
